model_accuracy,MF
0.9019115813303727,102
0.9602468889167917,117
0.9314255989541476,121
0.8850383712353513,1223
0.7349081227007548,124
0.7685259468684289,13
0.9824084579648131,134
0.9356740263467614,137
0.9842763031034397,140
0.986510851617311,141
0.9293867014590828,144
0.80893900582162,179
0.9886423520263138,181
0.7908741327273211,184
0,191
0.8213186782486326,195
0.8586857650894048,198
0.7415009170665415,2
0.977686297932526,200
0.7197258723796234,257
0,27
0.9479055496605189,28
0.9850988070659928,312
0.747075102276779,370
0.9793236350341314,39
0.8761295955613585,421
0.5751452626358018,439
0.8725814525395408,44
0,46
0.4796163014537639,478
0.9616210193302669,5
0.9012284600842713,557
0.7835215270259952,59
0.9985065468703481,6
0.6756551308275445,697
0.87856315580852,7
0.9474728861270292,78
0.8004967556834686,9
1.0,time_step
