MF;abpcode;scientificName;taxonRank;scientificName_GBIF;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship;establishmentMeans;Ind.NonInd;trophic
1;NA;Tortricidae sp.;family;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Gen.;sp.;NA;NA;I;NonInd;H
2;A00590;Tenuiphantes miguelensis (Wunderlich, 1992);species;Tenuiphantes miguelensis (Wunderlich, 1992);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Tenuiphantes;miguelensis;NA;(Wunderlich, 1992);N;Ind;P
3;A00668;Xysticus cor Canestrini, 1873;species;Xysticus cor Canestrini, 1873;Animalia;Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus;cor;NA;Canestrini, 1873;N;Ind;P
4;A00582;Porrhomma borgesi Wunderlich, 2008;species;Porrhomma borgesi Wunderlich, 2008;Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Porrhomma;borgesi;NA;Wunderlich, 2008;E;Ind;P
5;A00632;Rugathodes acoreensis Wunderlich, 1992;species;Rugathodes acoreensis Wunderlich, 1992;Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Rugathodes;acoreensis;NA;Wunderlich, 1992;E;Ind;P
6;A00912;Leiobunum blackwalli Meade, 1861;species;Leiobunum blackwalli Meade, 1861;Animalia;Arthropoda;Arachnida;Opiliones;Leiobunidae;Leiobunum;blackwalli;NA;Meade, 1861;N;Ind;P
7;A01317;Cixius azoterceirae Remane & Asche, 1979;species;Cixius azoterceirae Remane & Asche, 1979;Animalia;Arthropoda;Insecta;Hemiptera;Cixiidae;Cixius;azoterceirae;NA;Remane & Asche, 1979;E;Ind;H
8;A01298;Aphrodes hamiltoni Quartau & Borges, 2003;species;Aphrodes hamiltoni Quartau & Borges, 2003;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Aphrodes;hamiltoni;NA;Quartau & Borges, 2003;E;Ind;H
9;A01009;Ommatoiulus moreleti (Lucas, 1860);species;Ommatoiulus moreleti (Lucas, 1860);Animalia;Arthropoda;Diplopoda;Julida;Julidae;Ommatoiulus;moreleti;NA;(Lucas, 1860);I;NonInd;H
10;A01716;Mythimna unipuncta (Haworth, 1809);species;Mythimna unipuncta (Haworth, 1809);Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Mythimna;unipuncta;NA;(Haworth, 1809);N;Ind;H
12;A01686;Cyclophora puppillaria granti (Prout, 1935);subspecies;Cyclophora puppillaria granti (Prout, 1935);Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Cyclophora;puppillaria;granti;(Prout, 1935);E;Ind;H
13;A01261;Hoplothrips corticis (De Geer, 1773);species;Hoplothrips corticis (De Geer, 1773);Animalia;Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Hoplothrips;corticis;NA;(De Geer, 1773);N;Ind;F
14;NA;Aleyrodidae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Gen.;sp.;NA;NA;Indeterminate;Indeterminate;H
15;A00009;Ocys harpaloides (Audinet-Serville, 1821);species;Ocys harpaloides (Audinet-Serville, 1821);Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ocys;harpaloides;NA;(Audinet-Serville, 1821);N;Ind;P
16;A00179;Atheta fungi (Gravenhorst, 1806);species;Mocyta fungi (Gravenhorst, 1806);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Atheta;fungi;NA;(Gravenhorst, 1806);Indeterminate;Indeterminate;F
17;A00649;Pardosa acorensis Simon, 1883;species;Pardosa acorensis Simon, 1883;Animalia;Arthropoda;Arachnida;Araneae;Lycosidae;Pardosa;acorensis;NA;Simon, 1883;E;Ind;P
19;A01801;Argyresthia atlanticella Rebel, 1940;species;Argyresthia atlanticella Rebel, 1940;Animalia;Arthropoda;Insecta;Lepidoptera;Argyresthiidae;Argyresthia;atlanticella;NA;Rebel, 1940;E;Ind;H
20;A00592;Palliduphantes schmitzi (Kulczynski, 1899);species;Palliduphantes schmitzi (Kulczynski, 1899);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Palliduphantes;schmitzi;NA;(Kulczynski, 1899);N;Ind;P
21;A00591;Tenuiphantes tenuis (Blackwall, 1852);species;Tenuiphantes tenuis (Blackwall, 1852);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Tenuiphantes;tenuis;NA;(Blackwall, 1852);I;NonInd;P
22;A00583;Agyneta decora (O. Pickard-Cambridge, 1871);species;Agyneta decora (O.Pickard-Cambridge, 1871);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Agyneta;decora;NA;(O. Pickard-Cambridge, 1871);I;NonInd;P
23;A00091;Phloeonomus punctipennis Thomson, 1867;species;Phloeonomus punctipennis C.G.Thomson, 1867;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Phloeonomus;punctipennis;NA;Thomson, 1867;Indeterminate;Indeterminate;P
24;A00598;Mermessus fradeorum (Berland, 1932);species;Mermessus fradeorum (Berland, 1932);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Mermessus;fradeorum;NA;(Berland, 1932);I;NonInd;P
25;A00512;Pseudophloeophagus truncorum (Stephens, 1831);species;Rhyncolus truncorum Stephens, 1831;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Pseudophloeophagus;truncorum;NA;(Stephens, 1831);N;Ind;H
26;A01024;Geophilus truncorum Bergsøe & Meinert, 1866;species;Geophilus truncorum Bergsøe & Meinert, 1866;Animalia;Arthropoda;Chilopoda;Geophilomorpha;Geophilidae;Geophilus;truncorum;NA;Bergsøe & Meinert, 1866;N;Ind;P
27;A01019;Lithobius pilicornis pilicornis Newport, 1844;subspecies;Lithobius pilicornis pilicornis;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;Lithobius;pilicornis;pilicornis;Newport, 1844;N;Ind;P
28;A00569;Dysdera crocata C. L. Koch, 1838;species;Dysdera crocata C.L.Koch, 1838;Animalia;Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;crocata;NA;C. L. Koch, 1838;I;NonInd;P
31;A00474;Otiorhynchus rugosostriatus (Goeze, 1777);species;Otiorhynchus rugosostriatus (Goeze, 1777);Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Otiorhynchus;rugosostriatus;NA;(Goeze, 1777);I;NonInd;H
32;A00021;Pterostichus vernalis (Panzer, 1796);species;Pterostichus vernalis (Panzer, 1796);Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;vernalis;NA;(Panzer, 1796);I;NonInd;P
33;A00904;Homalenotus coriaceus (Simon, 1879);species;Homalenotus coriaceus (Simon, 1879);Animalia;Arthropoda;Arachnida;Opiliones;Sclerosomatidae;Homalenotus;coriaceus;NA;(Simon, 1879);N;Ind;P
34;A00600;Erigone atra Blackwall, 1833;species;Erigone atra Blackwall, 1833;Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Erigone;atra;NA;Blackwall, 1833;I;NonInd;P
36;A01220;Lachesilla greeni (Pearman, 1933);species;Lachesilla greeni (Pearman, 1933);Animalia;Arthropoda;Insecta;Psocodea;Lachesillidae;Lachesilla;greeni;NA;(Pearman, 1933);I;NonInd;S
37;A00993;Polydesmus coriaceus Porat, 1870;species;Polydesmus coriaceus Porat, 1870;Animalia;Arthropoda;Diplopoda;Polydesmida;Polydesmidae;Polydesmus;coriaceus;NA;Porat, 1870;I;NonInd;S
38;A00903;Chthonius ischnocheles (Hermann, 1804);species;Chthonius ischnocheles (Hermann, 1804);Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Chthoniidae;Chthonius;ischnocheles;NA;(Hermann, 1804);I;NonInd;P
39;A00650;Pisaura acoreensis Wunderlich, 1992;species;Pisaura acoreensis Wunderlich, 1992;Animalia;Arthropoda;Arachnida;Araneae;Pisauridae;Pisaura;acoreensis;NA;Wunderlich, 1992;E;Ind;P
