"Event_ID","Placement","Sampling.Date","Season","Year","Notes","Sorting.Status.Order","Sorting.Status.Morphospecies","Location.of.the.sample"
"TER-NFTB-T-18-ORIGINAL_6_2012","2012-06-13","2012-06-27","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33_6_2012","2012-06-14","2012-06-27","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_7_2012","2012-06-20","2012-07-04","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-TP41_7_2012","2012-06-22","2012-07-07","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33_9_2012","2012-06-27","2012-09-25","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-15_7_2012","2012-06-27","2012-07-11","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-18-ORIGINAL_9_2012","2012-06-27","2012-09-24","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_10_2012","2012-07-04","2012-10-16","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-TP41_10_2012","2012-07-07","2012-10-08","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-15_9_2012","2012-07-11","2012-09-25","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T164_7_2012","2012-07-12","2012-07-27","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_7_2012","2012-07-13","2012-07-27","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE49_8_2012","2012-07-18","2012-08-01","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE48_8_2012","2012-07-19","2012-08-02","spring/summer","2012","none","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-01_8_2012","2012-07-20","2012-08-03","spring/summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_10_2012","2012-07-27","2012-10-08","summer","2012","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T164_10_2012","2012-07-27","2012-10-11","summer","2012","NA","Sorted","Sorted","Entomoteca"
