MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
39.15803,7.633354,9.819507,105.55307,11.418026,34.580727,29.244846,31.914537,78.12035,0.15258262,0.0,56.474094,0.0,60.017017,0.0,23.994793,10.088612,15.333185,0.0,19.932201,41.7455,0.0,21.647749,0.0,51.075165,12.719862,6.2743545,0.0,3.714248,8.104519,17.348791,0.0,0.0,25.85163,18.153034,624.5009,6.447221,0.0,2.6984198
3.3780808,29.993755,8.272552,86.66287,0.0,15.338226,128.93263,98.234184,62.279568,0.0,0.021943867,24.136156,0.0,19.023426,0.0,7.5137453,4.0846925,0.0,0.0,8.125188,3.8830583,0.0,0.0,0.0,40.07932,7.956285,4.1249385,0.0,0.0,12.229208,0.0,0.0,3.6328654,0.0,120.57168,129.93814,0.0,0.0,0.0
0.0,13.161065,13.191846,0.0,0.0,6.3731427,101.92347,33.4221,0.0,4.7321386,12.242392,75.806046,2.6340172,0.0,0.0,2.7000608,24.5447,0.0,0.0,17.176819,16.968815,0.0,0.0,0.0,23.745594,0.0,5.5460067,0.0,0.0,19.743874,4.003229,3.405509,0.0,0.0,75.0477,111.51292,0.0,0.0,0.0
9.083601,11.578783,0.0,0.0,0.0,23.122581,54.324364,19.361092,51.098286,0.0,1.953393,40.478157,0.0,0.0,0.0,1.2038149,20.76999,0.0,0.0,18.151163,21.367899,0.0,7.2574987,0.0,21.627043,3.8418934,10.451691,0.0,0.0,11.823509,46.67137,0.0,0.0,4.1043963,18.409285,398.7336,0.0,1.4766136,0.0
23.768673,11.330806,13.267057,35.172676,4.3249936,31.78523,39.253826,28.268574,95.29541,0.0,5.9061384,63.179043,0.0,35.593945,0.0,12.742103,17.119604,5.581321,0.0,21.70437,28.479792,0.0,14.938999,0.0,24.968513,15.845945,9.780497,2.1047206,5.8791356,14.705344,24.346481,0.0,0.0,20.758364,58.997406,513.73376,0.0,2.7096968,0.2558077
0.0,17.85672,19.076923,47.009865,2.2859206,12.88541,99.52107,49.562065,39.603256,1.9060583,10.9859915,69.55815,1.7470098,19.116554,0.0,5.6498246,23.52577,0.0,0.0,12.263429,2.2716725,0.0,0.0,0.0,21.494898,6.2213507,0.0,5.9387207,0.0,14.207828,0.0,0.0,0.0,2.4455676,105.69791,61.62005,0.0,0.0,0.0
0.0,0.0,0.339152,0.0,0.0,3.1233125,102.23691,2.0295646,12.284294,0.40890262,8.656159,44.586926,9.283124,0.0,0.0,0.0,41.741627,0.0,6.453637,7.0233707,15.303647,0.0,0.0,4.980213,9.323473,0.0,0.0,0.0,0.0,3.682227,16.341492,0.0,0.0,0.0,7.1862917,0.0,0.0,7.3280563,1.5523267
4.977757,16.806202,0.0,0.0,0.0,24.691029,44.975407,22.902924,11.716835,6.7225966,16.44694,27.174084,0.0,0.0,0.0,1.6171716,23.396198,2.4623508,6.57888,13.415832,24.37793,0.0,0.0,5.7645288,4.667725,0.0,25.542818,0.0,0.0,4.502243,131.65382,8.4718275,4.0287347,0.0,0.0,375.74677,12.875052,0.029504359,1.9382486
29.914473,12.7772255,10.608208,33.91352,11.74976,38.34045,55.102993,63.87701,78.73608,2.6379147,3.9285886,21.236427,0.0,68.69124,0.0,23.46191,0.0,3.7680428,20.980131,21.607237,50.61835,0.0,10.454928,0.0,6.5924087,13.114615,45.880505,0.0,38.08962,3.9329803,30.530525,10.207194,0.0,41.56556,44.8402,1167.6149,37.09223,5.344617,7.2350144
4.5320992,9.674772,7.528165,24.328436,5.559037,3.6726825,99.92345,21.934118,44.372757,7.555542,0.7644556,45.961784,2.7078168,11.571685,0.0,11.813631,18.268225,0.0,5.337879,11.06794,6.876376,0.0,0.0,2.0655982,9.384694,2.464931,4.966208,3.2759948,0.0,3.116293,0.0,0.0,12.828322,22.023834,35.043064,49.539783,0.0,0.0,6.287339
0.0,1.9212806,0.0,0.0,0.0,2.3622255,146.8783,21.611715,18.38225,0.0,2.6832793,18.742208,0.0,0.0,0.0,4.1561527,12.217226,0.0,37.52183,14.362602,21.030777,0.0,0.0,7.5536947,3.1416023,0.0,0.0,0.0,0.0,0.0,7.7153864,3.106412,3.6106443,0.0,4.981508,9.248344,0.0,10.140859,0.0
7.598631,17.300919,0.0,0.0,0.0,18.38147,59.42925,37.73209,31.6036,9.768965,7.3068514,20.220083,0.0,0.0,0.0,9.896205,5.1251354,3.0703847,19.411846,31.295034,21.797834,0.0,0.0,5.3952007,2.7725072,0.0,43.260735,0.0,0.0,7.0658298,70.57195,10.993703,4.3113284,0.17409492,0.0,454.31366,16.610342,9.290215,0.0
25.701088,5.9792476,0.0,19.436115,3.8528666,30.434072,30.607388,37.57521,42.804825,2.3522727,8.147985,15.09189,0.0,13.459551,0.0,17.8511,10.722101,6.397653,2.992282,15.687008,25.386503,0.0,4.2239804,0.0,3.5965126,0.29506522,8.269014,0.0,11.709416,3.578197,20.477232,0.0,0.0,35.50957,29.801992,341.9543,9.890626,0.0,8.432544
0.35012808,1.9480026,0.0,11.404099,3.3875902,4.0422153,45.301865,16.677128,23.983522,0.071906894,3.5837657,25.037493,0.0,0.71078837,0.0,6.1835485,10.254801,0.06990084,0.0,8.199496,0.0,0.0,0.0,3.7652726,3.2403436,0.0,9.268713,0.0,0.0,3.5954545,1.2457161,0.0,0.014297426,2.7843266,27.2249,32.292816,0.0,0.0,0.0
0.0,0.3121935,0.0,0.0,0.0,1.696001,54.70068,5.7124085,63.316326,0.0,0.0,6.4763365,3.780231,0.0,0.0,1.6738085,22.518066,0.0,8.147427,6.41197,21.175816,0.0,0.0,0.16248769,0.0,0.08079223,0.0,0.0,0.0,3.6255229,20.618614,0.0,3.34769,0.0,5.9885645,8.096327,0.0,4.547563,0.0
10.9368925,23.875025,0.0,0.0,0.0,22.035942,32.50688,12.102973,37.55922,0.0,13.366168,19.235186,0.0,0.0,0.0,0.0,30.895374,0.0,7.8742185,13.7250595,31.042442,0.0,0.0,0.0,5.735518,1.6259795,9.266605,0.0,0.0,4.600497,132.44548,0.0,6.526048,0.0,0.0,433.3264,2.9670527,3.5268497,1.9950016
40.990433,3.7935379,0.0,16.004515,0.057516754,30.004879,12.430777,25.558985,427.45004,0.0,0.0,0.0,0.0,16.49094,0.0,19.739744,3.4756193,13.09471,2.4128065,32.459385,32.7505,0.0,11.088668,0.0,8.74566,44.93706,8.154776,0.0,8.32215,0.0,37.842617,0.0,0.0,10.412205,14.781722,407.68365,14.477154,0.0,3.0897171
3.6926074,8.231867,8.366761,9.713572,11.681686,3.2157447,79.80217,5.234936,0.0,3.1565213,12.791656,25.87813,0.0,10.691342,0.0,11.688689,7.766685,0.0,0.0,16.901665,0.0,0.0,0.0,0.0,5.549059,0.0,7.7421017,0.0,0.0,7.3034716,0.0,15.728928,6.010889,0.0,39.664474,67.42511,0.0,0.0,3.1088688
0.0,2.3665054,0.0,2.5454476,0.0,0.0,82.04863,7.0408545,15.178946,0.0,11.725335,17.898579,5.5074897,0.0,0.0,2.7399483,18.33664,0.0,3.4691088,6.1975207,22.154417,0.0,0.0,5.910173,14.745457,2.8559966,0.0,0.0,0.0,0.0,8.308789,2.729739,0.0,0.0,9.270058,8.328924,0.0,9.753976,0.0
4.088441,22.219604,0.0,0.0,0.0,30.31712,35.08928,10.874634,15.826841,7.65681,15.396241,9.248531,0.0,0.0,0.0,1.343926,24.919106,0.0,5.979349,2.9500184,16.128614,0.0,8.158059,12.432798,0.0,31.516327,3.299272,0.0,0.0,3.4092817,99.923294,7.497449,5.4987626,10.168221,0.0,299.918,18.522432,3.1223755,0.05514705
21.03296,7.1615725,8.4633,12.442877,0.0,37.19274,17.990349,25.540237,33.483444,0.0,3.274046,11.716654,0.0,21.233059,0.0,31.071692,3.6472318,2.8692727,10.296374,19.835701,20.50361,0.0,6.9669523,1.9215391,12.881635,0.30271316,7.773624,12.830264,25.552801,3.8976257,30.080807,5.779425,0.0,8.377661,12.065345,381.00757,21.016579,3.301612,3.284066
3.7213056,3.6078606,9.241087,7.830868,13.922776,2.3175294,70.688416,8.105349,13.007074,4.821446,5.0441732,25.949577,0.0,10.491601,0.0,6.4823585,18.111588,0.0,0.0,2.0380127,1.4112065,0.0,0.0,0.45598227,7.8946056,0.0,3.5984921,25.9055,0.0,11.637115,0.0,0.0,3.8711886,1.5799297,40.65101,60.281776,0.0,0.0,1.391499
0.0,2.7395616,0.0,0.36811942,0.0,2.4613109,55.161175,4.316475,4.523329,3.4275484,4.5171423,5.898155,0.0,0.0,0.0,2.7860231,10.900894,0.0,0.0,3.1571312,6.4311447,0.0,0.0,8.843723,7.801094,1.5189053,0.0,0.0,0.0,0.0,5.52261,0.0,0.0,2.9679432,0.90729177,19.529215,0.0,0.0,0.0
