"MF_extinct";"Hill.0_mean";"Hill.1_mean";"Hill.2_mean";"Hill.0_sd";"Hill.1_sd";"Hill.2_sd";"scientificName"
"MF102";26;10.6296707472138;6.37898031856311;3.89608613604566;3.15266438886719;2.97381053315415;"Pseudophloeophagus tenax borgesi Stüben, 2022"
"MF117";26.15;10.3211380755799;6.25103587106056;3.81998791782221;3.38628480468919;3.0352775802057;"Lathys dentichelis (Simon, 1883)"
"MF121";27.375;10.74883192626;6.44914415497235;3.88743867953946;3.49658619788929;3.16907297307249;"Ectopsocus briggsi McLachlan, 1899"
"MF124";25.95;10.8455470454893;6.32397447008149;3.37372958045711;2.98657442989805;2.80394257478275;"Cyphopterum adscendens (Herrich-Schäffer, 1835)"
"MF13";26.475;10.5378859105215;6.36870487719935;3.64436692121008;3.30803359000249;3.07591664308576;"Hoplothrips corticis (De Geer, 1773)"
"MF134";26.25;10.3872977251162;6.33124845024887;3.88125012903092;3.54343565775105;3.18246651252497;"Gibbaranea occidentalis Wunderlich, 1989"
"MF137";25.525;12.2518631952257;8.15495701482409;3.98064226231306;3.28266591901145;3.53723038203424;"Pinalitus oromii J. Ribes, 1992"
"MF141";25.875;10.4931318977165;6.22918712161796;4.02038077033277;3.12361016854375;2.8893942790033;"Calacalles subcarinatus (Israelson, 1984)"
"MF144";26.375;10.1237338109904;6.07064320799421;4.13668701827676;3.23648181367542;2.95273338548535;"Trigoniophthalmus borgesi Mendes, Gaju, Bach & Molero, 2000"
"MF167";26.65;10.5211241387881;6.32201542047317;3.80653958205397;3.32358916282646;3.02712200313884;"Kleidocerys ericae (Horváth, 1909)"
"MF179";26.325;10.5315305282069;6.36989618541001;3.64014299521887;3.41109227810367;3.12701937445367;"Leucognatha acoreensis Wunderlich, 1992"
"MF181";26.25;10.1039234487961;6.01774665965325;3.97911212877111;3.25966253899913;2.90339099963642;"Savigniorrhipis acoreensis Wunderlich, 1992"
"MF184";26.425;10.6754241598998;6.45036204190875;3.68564436143456;3.51554531517967;3.18853092684964;"Elipsocus azoricus Meinander, 1975"
"MF191";26.45;10.4646883465212;6.33564946627014;3.42651800535553;3.39725258707463;3.14459906769608;"Valenzuela flavidus (Stephens, 1836)"
"MF195";26.275;10.2150982783624;6.02228085087477;3.65841145293615;3.20857628041841;2.88125409229762;"Trioza laurisilvae Hodkinson, 1990"
"MF198";26.225;10.543636180153;6.40545351446256;3.76548086621698;3.35847262228315;3.12492967718651;"Macaroeris cata (Blackwall, 1867)"
"MF200";26.3;10.3512066175209;6.20112660811714;3.94318626858001;3.3483400501348;2.98763971187577;"Hemerobius azoricus Tjeder, 1948"
"MF21";26.625;10.9342421500021;6.60928846398684;3.3180740474883;3.61558420700492;3.30224943183872;"Tenuiphantes tenuis (Blackwall, 1852)"
"MF257";26.5;10.8089171851692;6.53155841973231;3.98715887536926;3.48477157465178;3.21431235064458;"Catops coracinus Kellner, 1846"
"MF27";26.5;10.7576920992472;6.52439746700265;3.65148371670111;3.47012893098083;3.20754384548204;"Lithobius pilicornis pilicornis Newport, 1844"
"MF312";26.375;10.4202812926217;6.33796821880587;3.99157767150939;3.48273306101104;3.18751263187478;"Acorigone acoreensis (Wunderlich, 1992)"
"MF370";26.5;10.4165994130058;6.28364060813317;3.60910529434111;3.70724815654221;3.3098478159976;"Elipsocus brincki Badonnel, 1963"
"MF39";26.75;10.9512507609587;6.61951537596732;3.78085596060889;3.65726642955772;3.32777126841094;"Pisaura acoreensis Wunderlich, 1992"
"MF421";27.275;11.0610095390225;6.65229151933191;3.90914444046396;3.65394897657926;3.3217744600617;"Walckenaeria grandis (Wunderlich, 1992)"
"MF439";26.5;10.4273726699236;6.2540377557303;3.65148371670111;3.37715262619874;2.99789910590308;"Notothecta dryochares (Israelson, 1985)"
"MF44";26.375;10.8615900697447;6.58538056857849;3.75320375966167;3.59254033537436;3.28684550920522;"Cinara juniperi (De Geer, 1773)"
"MF46";26.625;10.8471969942299;6.57940715254099;3.46918670732153;3.61243447783012;3.29128530202674;"Drouetius borgesi borgesi (Machado, 2009)"
"MF465";27.375;11.0705485637649;6.65776090097847;3.75320375966167;3.66352190388058;3.32893878838386;"Eupteryx azorica Ribaut, 1941"
"MF476";26.875;10.9236990154813;6.59373731120076;3.52418384805217;3.51128242172363;3.2477540359298;"Monalocoris filicis (Linnaeus, 1758)"
"MF478";26.5;10.7684162105789;6.52571426970803;3.75533808099405;3.49836330225116;3.22394367600791;"Trichopsocus clarus (Banks, 1908)"
"MF5";26.75;10.7576532499772;6.52245717420716;3.60732872258968;3.90655674429808;3.44878751008507;"Rugathodes acoreensis Wunderlich, 1992"
"MF557";26.625;10.9296082602283;6.6161604214577;3.78720856541447;3.63641811129985;3.30735541125926;"Strophingia harteni Hodkinson, 1981"
"MF57";26.875;10.9161430427917;6.58944201815219;3.96903075425287;3.5144975348066;3.24258103738004;"Atheta aeneicollis (Sharp, 1869)"
"MF59";27.125;10.9505653895728;6.62103517000538;3.45065954305134;3.68319461355207;3.35426672247325;"Zetha simonyi (Krauss, 1892)"
"MF6";27.15;10.2786722993732;6.10470916417418;3.93244231541959;3.32983272665937;3.01436036115928;"Leiobunum blackwalli Meade, 1861"
