MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
2.171568,0.14719585,0.0,0.0,5.338853,0.5804149,83.285995,0.0,0.0,0.37745693,11.604419,13.73357,2.3510015,2.589219,24.414742,3.2829666,15.813547,0.0,7.5872693,12.27887,7.199966,7.954941,0.0,0.0,10.99506,0.0,0.0,0.0,0.0,0.2248106,0.0,7.854824,2.8418503,0.0,7.55932,45.262115,0.0,5.527102,1.8488832
7.2262254,18.778072,0.0,0.0,0.0,17.15913,53.156845,6.6021156,10.498421,6.126158,10.74891,13.803261,5.3424067,0.0,1.1821773,1.5359668,13.809853,0.0,12.148815,4.4318686,29.055841,78.116974,0.0,0.0,15.98193,13.310073,0.0,0.0,0.0,1.1324887,61.43433,0.0,1.9121606,0.0,0.0,560.8247,0.0,13.462526,0.7885447
36.80897,12.236366,0.0,115.420265,30.352198,29.049685,40.69031,22.941475,63.3479,3.654805,6.322915,27.874868,0.8113334,85.18837,97.86477,32.55952,12.950571,18.156363,0.0,10.188949,38.746017,60.65264,6.545115,0.0,25.416103,7.192663,2.1188037,0.0,3.664839,2.969412,30.77427,4.441439,0.0,8.39628,3.915224,848.1734,21.773039,2.076974,4.3799386
9.104712,5.9894023,0.0,33.855072,6.938787,0.0,96.4542,11.661984,33.249027,15.491453,1.6558042,29.286999,0.0,0.0,24.726288,5.010035,22.850113,0.0,13.575211,6.663544,8.625203,7.386039,0.0,0.0,29.11839,1.7609208,2.7637315,0.0,3.5387552,0.0,0.0,0.0,5.211839,0.0,10.182978,51.67261,0.0,0.0,0.0
0.0,4.1061864,0.0,0.0,2.3932686,4.1677475,125.7194,8.774574,4.806352,8.003871,13.936831,43.216133,3.9793825,0.0,14.634042,2.5252938,16.919907,0.0,7.286602,0.96839243,20.608744,28.581444,0.0,0.0,12.00285,1.8338704,0.0,0.0,0.0,3.7641068,2.1351793,0.0,0.0,0.0,25.63535,87.85911,0.0,0.39651605,2.7989066
5.576564,26.972448,0.0,0.0,3.5125957,37.171215,93.48653,27.017056,0.0,10.817349,9.361765,20.668924,3.7038043,14.55843,0.0,6.2249036,25.088955,4.423562,4.3214073,7.449145,26.491512,226.18932,3.0356972,0.0,39.36689,0.024582103,3.4609983,0.0,0.0,0.0,73.17334,7.032121,0.0,0.0,0.0,1075.5406,21.694603,0.4967513,0.0
39.324024,7.3493667,0.0,105.66239,11.205215,34.440243,28.827847,31.706268,78.09937,0.0,3.7244112,55.2947,5.8942285,60.29312,95.87483,24.009031,10.076248,15.170539,0.0,19.653152,42.299522,58.97933,21.51537,0.0,51.209522,12.336407,5.921426,0.0,3.9367344,7.761487,17.000843,0.0,0.0,25.883028,17.250591,624.6018,6.4129457,0.0,2.8536868
3.6777048,30.11963,0.0,87.51087,0.0,15.391089,131.11037,99.286514,65.97284,0.0,0.0,22.420916,0.0,19.01986,65.30326,7.384319,4.3687677,0.0,0.0,8.088188,3.8967552,0.0,0.09238121,0.0,40.708534,8.673196,3.8433075,0.0,0.0,11.63062,0.0,3.863466,3.7308545,0.0,120.38323,129.63197,0.0,0.21710904,0.0
0.0,11.464472,0.0,3.1513295,0.0,3.6918702,116.97935,30.237196,16.628305,0.0,4.7435303,23.465754,0.0,0.0,43.330574,5.7070427,27.438438,0.0,6.4296374,6.140259,8.278788,0.0,0.0,0.0,15.716578,0.0,0.0,0.0,0.0,7.732071,0.0,1.7996086,2.6187453,0.0,34.67609,28.485662,0.0,6.580196,0.0
4.3588057,15.42523,0.0,0.0,0.0,26.994123,47.334415,21.783712,4.9661703,2.404665,6.057829,19.930792,11.289684,0.0,0.0,1.2435863,16.172346,0.0,6.3172503,4.1360774,20.314941,81.032715,0.0,0.0,9.415489,2.3616426,20.269379,0.0,0.20143883,4.735732,81.62333,6.1164002,4.1792774,0.0,0.0,551.82855,10.786026,8.1784935,2.5660887
30.283365,18.908657,0.0,132.24037,37.056793,39.3242,43.8372,42.14359,40.950745,5.0112224,3.1406965,26.76448,0.26747057,97.90498,103.35075,32.605057,8.021002,19.096628,0.0,7.7283273,33.291763,37.261787,9.626437,0.0,17.022175,9.417524,8.820797,0.0,11.747912,7.146447,20.431334,9.931421,0.0,15.117651,37.652115,930.03815,30.045326,3.7754674,5.37765
11.274199,4.902754,0.0,42.12737,10.421724,1.254278,94.96158,6.8368044,10.032078,18.230076,4.084274,34.86931,0.44925806,5.238896,32.08305,8.295152,29.806694,0.0,9.163094,8.170494,8.009338,16.589874,0.0,0.0,28.761736,0.8671805,3.0466082,0.0,8.428418,3.2295942,0.0,3.0398831,6.146637,0.0,10.8159485,51.81704,0.0,0.0,0.0
0.0,4.2531714,0.0,0.0,2.7624059,4.569437,126.43018,9.089289,5.6289086,7.995704,14.132567,42.388325,4.1199503,0.0,15.528937,2.3698387,17.844831,0.0,6.8645306,0.0,20.584461,27.081945,0.0,0.0,12.1895485,2.7706692,0.0,0.0,0.0,3.8923297,2.6684036,0.0,0.0,0.0,26.45818,85.98333,0.0,0.029912084,2.7103293
5.609951,26.960646,0.0,0.0,3.4704735,37.22474,93.94105,27.256853,0.0,10.854537,9.381566,20.56263,3.7076657,14.546376,0.0,6.273001,25.07069,4.4493775,4.362685,7.5501003,26.529902,227.06757,3.073837,0.0,39.48666,0.037635997,3.51445,0.0,0.0,0.0,73.21331,7.09556,0.0,0.0,0.0,1077.6093,21.793776,0.3404397,0.0
39.369354,7.3232856,0.0,105.68022,11.188127,34.4522,28.900524,31.782612,78.26353,0.0,3.7166703,55.287354,5.8975363,60.26995,95.92434,24.02532,10.074232,15.18163,0.0,19.702045,42.32128,59.042473,21.52244,0.0,51.253597,12.326507,5.984365,0.0,3.9413846,7.763626,17.042221,0.0,0.0,25.858355,17.254898,624.85864,6.4362173,0.0,2.8444624
3.6940475,30.12702,0.0,87.56312,0.0,15.391692,131.15147,99.29989,66.014565,0.0,0.0,22.484459,0.0,19.037895,65.388435,7.393228,4.378698,0.0,0.0,8.117264,3.8970804,0.0,0.092713326,0.0,40.759727,8.669798,3.887358,0.0,0.0,11.656782,0.0,3.8572724,3.7205453,0.0,120.455,129.78802,0.0,0.22396421,0.0
0.0,11.474461,0.0,3.1975174,0.0,3.6622784,116.97316,30.276196,16.678034,0.0,4.7584867,23.478914,0.0,0.0,43.4992,5.703619,27.461208,0.0,6.4130235,6.1644273,8.279595,0.0,0.0,0.0,15.745813,0.0,0.0,0.0,0.0,7.780073,0.0,1.8052781,2.611817,0.0,34.71972,28.221294,0.0,6.5746984,0.0
4.3399625,15.335287,0.0,0.0,0.0,27.048357,47.443707,21.760548,4.9780846,2.4021358,6.1622596,20.105364,11.462737,0.0,0.0,1.2220644,16.315968,0.0,6.269707,4.133264,20.339136,81.62939,0.0,0.0,9.469084,2.3331645,20.366259,0.0,0.16731016,4.7123127,82.342026,6.136916,4.15852,0.0,0.0,550.6971,10.824052,8.023173,2.5448995
30.209175,18.872717,0.0,131.8488,37.000195,39.373688,43.784683,42.26636,41.006172,4.90542,3.1271243,26.803741,0.2741153,97.61677,103.16255,32.53356,7.976823,19.054134,0.0,7.7762218,33.205917,37.129982,9.637925,0.0,16.932034,9.399019,8.9129715,0.0,11.838725,7.1262484,20.443092,9.9377985,0.0,15.187571,37.902702,928.55493,30.019226,3.730075,5.392102
11.2967205,4.88973,0.0,42.148876,10.428289,1.2647455,94.949585,6.8349133,10.110634,18.224846,4.0874662,34.938736,0.45728442,5.249102,32.11043,8.311308,29.824093,0.0,9.132643,8.201128,8.006462,16.644463,0.0,0.0,28.793285,0.85242885,3.0875282,0.0,8.41279,3.250621,0.0,3.0331652,6.143598,0.0,10.859799,51.89732,0.0,0.0,0.0
0.0,4.252271,0.0,0.0,2.762817,4.5603337,126.46631,9.10641,5.6649504,8.002365,14.143882,42.427944,4.1238084,0.0,15.538708,2.376937,17.839775,0.0,6.8546734,0.0,20.570068,27.105974,0.0,0.0,12.192879,2.7709157,0.0,0.0,0.0,3.9044557,2.6888864,0.0,0.0,0.0,26.501732,86.00262,0.0,0.035128474,2.700966
5.6314282,26.951784,0.0,0.0,3.4710705,37.243805,93.9694,27.269058,0.0,10.841853,9.3845415,20.603867,3.7079146,14.537342,0.0,6.280844,25.075462,4.458135,4.36678,7.5782833,26.5615,227.07883,3.0781386,0.0,39.533985,0.026787952,3.5263872,0.0,0.0,0.0,73.23861,7.094841,0.0,0.0,0.0,1077.8362,21.78104,0.35713452,0.0
39.40853,7.3085356,0.0,105.7134,11.186087,34.45733,28.931416,31.815063,78.3878,0.0,3.7021704,55.31457,5.890473,60.26384,95.99395,24.03361,10.0864315,15.187409,0.0,19.723122,42.35067,59.041145,21.52197,0.0,51.30989,12.310564,6.012779,0.0,3.9383962,7.769824,17.075037,0.0,0.0,25.838778,17.254625,625.09033,6.438168,0.0,2.834652
3.711102,30.127693,0.0,87.59954,0.0,15.39384,131.21075,99.31468,66.123024,0.0,0.0,22.535192,0.0,19.04939,65.44193,7.3998404,4.3807993,0.0,0.0,8.15181,3.8862767,0.0,0.104079455,0.0,40.80575,8.691859,3.932252,0.0,0.0,11.67182,0.0,3.8541653,3.7147207,0.0,120.498,129.90347,0.0,0.23544474,0.0
0.0,11.484078,0.0,3.2371492,0.0,3.6361942,116.97217,30.306175,16.733559,0.0,4.766464,23.487463,0.0,0.0,43.640305,5.6969585,27.478928,0.0,6.4069505,6.1818137,8.283038,0.0,0.0,0.0,15.776012,0.0,0.0,0.0,0.0,7.813306,0.0,1.8044889,2.6105022,0.0,34.74887,28.005022,0.0,6.5745754,0.0
4.3316627,15.26129,0.0,0.0,0.0,27.102741,47.529743,21.774696,5.0553756,2.4039543,6.2510586,20.231453,11.60995,0.0,0.0,1.214356,16.424097,0.0,6.223459,4.141308,20.356653,82.0808,0.0,0.0,9.496548,2.3264592,20.464996,0.0,0.1479408,4.691722,82.94931,6.163459,4.13866,0.0,0.0,549.755,10.875535,7.888722,2.5288386
30.137054,18.823416,0.0,131.43861,36.942043,39.412243,43.71102,42.369537,41.064014,4.802792,3.1123743,26.834593,0.28294727,97.31735,102.949234,32.464676,7.929332,19.012144,0.0,7.82344,33.114876,37.026546,9.645848,0.0,16.832397,9.373493,8.9998665,0.0,11.931789,7.094322,20.435612,9.9420185,0.0,15.270796,38.121826,926.89056,29.984295,3.675127,5.411825
11.317899,4.8750877,0.0,42.165874,10.435188,1.2752923,94.93061,6.8316984,10.191217,18.22031,4.087958,35.000217,0.46711895,5.2608485,32.135887,8.326289,29.83748,0.0,9.103378,8.223707,8.007243,16.697266,0.0,0.0,28.819443,0.8419406,3.1247675,0.0,8.400326,3.2696016,0.0,3.0262504,6.1409187,0.0,10.897933,51.975704,0.0,0.0,0.0
0.0,4.2503576,0.0,0.0,2.7622542,4.553024,126.50059,9.121546,5.704096,8.009896,14.151762,42.459515,4.126388,0.0,15.545486,2.382135,17.833271,0.0,6.849846,0.0075829625,20.558163,27.123589,0.0,0.0,12.195118,2.7727544,0.0,0.0,0.0,3.913839,2.7037606,0.0,0.0,0.0,26.53833,86.02373,0.0,0.04031992,2.693092
5.651181,26.943579,0.0,0.0,3.4730752,37.261642,93.99357,27.278378,0.0,10.83132,9.384947,20.637209,3.7070038,14.532499,0.0,6.2870655,25.078327,4.4659505,4.37222,7.6007743,26.591496,227.08113,3.0822213,0.0,39.574314,0.019407466,3.534835,0.0,0.0,0.0,73.2556,7.092189,0.0,0.0,0.0,1078.0558,21.768402,0.37421745,0.0
39.4437,7.294855,0.0,105.745964,11.185731,34.463284,28.959,31.843622,78.50868,0.0,3.687896,55.336666,5.883755,60.26166,96.05782,24.040604,10.0949955,15.192816,0.0,19.739872,42.378475,59.034546,21.522364,0.0,51.35851,12.299638,6.03681,0.0,3.9357774,7.775181,17.097305,0.0,0.0,25.823582,17.257633,625.3141,6.4388795,0.0,2.8268476
3.7276444,30.123796,0.0,87.634125,0.0,15.402488,131.25977,99.32693,66.23087,0.0,0.0,22.577528,0.0,19.061613,65.49505,7.409479,4.377875,0.0,0.0,8.182054,3.8798943,0.0,0.119906515,0.0,40.849316,8.716449,3.974341,0.0,0.0,11.682942,0.0,3.8499255,3.7119346,0.0,120.51928,130.05519,0.0,0.2503577,0.0
