model_accuracy,MF
0.9556285860169239,102
0.524726803840469,117
0.6309344613918983,121
NaN,1223
0.6764154717605669,124
0.26754952541261406,13
0.832872124278202,134
0.815780818011735,137
0.854402458622705,140
0.8904503164290781,141
0.8685402888243797,144
0.6623452271742598,179
0.759293436811012,181
0.4950598367059954,184
0.6174416691236096,191
0.5281195574550681,195
0.6700310979989051,198
NaN,2
0.740431147465736,200
0.28275861397697455,257
0.6081778713623157,27
0.6459549102224731,28
0.8300510376613933,312
0.6569416376903273,370
0.0,39
0.5718025223409448,421
0.562594542136577,439
0.66860623356484,44
0.5056015710138909,46
0.09304907432025115,478
0.8887744036529193,5
0.8069912312047989,557
0.5958896377643937,59
0.835609357873311,6
0.6632932741201147,697
0.9537889885631456,7
0.6216014202685085,78
NaN,9
