MF102,MF117,MF121,MF1223,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF2,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF697,MF7,MF78,MF89,MF9
3.036643,11.004275,36.96448,8.902344,14.883853,4.199296,10.876548,91.22423,17.463413,33.774666,9.619201,17.055239,130.17175,4.3253455,0.0,52.581966,8.212676,0.0,30.21952,0.0,6.6264563,34.285923,9.223104,59.410618,0.0,0.0,13.9257965,0.95257854,0.0,0.0,0.0,22.13091,8.170164,0.0,0.0,3.105062,117.41534,4.0385065,115.73581,0.0,0.0,1.3132902
0.0,1.1753429,0.0,0.0,0.0,0.0,4.5831814,114.71561,5.524876,7.9379334,0.0,10.487479,36.32798,11.681055,0.0,53.94338,0.0,0.0,54.90965,0.0,10.823644,6.374439,11.663254,4.320525,0.0,2.0820897,6.5154047,1.0315484,0.0,0.0,0.0,5.6942754,8.786255,0.0,0.0,1.1496086,6.289255,6.57857,0.0,0.0,6.7263684,8.415571
3.027648,13.284601,0.0,90.27232,0.0,0.0,27.66031,52.601734,25.355501,14.622236,7.3926387,16.92884,31.741323,22.43997,0.0,14.646181,2.3344734,0.053389993,21.447971,3.0496743,6.211665,16.614485,23.33577,104.53404,0.0,8.875494,6.7671056,0.0,0.0,0.0,0.0,3.049561,141.48436,0.0,3.6681824,1.0189186,11.181864,0.0,379.3841,15.495161,0.0,2.024438
29.25543,9.789523,12.095014,82.87815,20.184383,8.895215,41.116447,57.231037,63.781845,78.90645,0.0,4.6485825,26.974258,0.0,0.0,124.14754,24.031246,2.966241,4.7281704,3.3421254,20.873625,21.386875,51.526447,18.196573,11.318812,0.0,6.6658993,0.0,0.0,0.0,43.248486,3.3022802,36.610943,0.0,0.19450372,45.690258,42.53772,10.359203,1194.7877,38.737026,0.0,8.198824
3.5752194,8.896326,7.261792,0.0,17.297913,3.5460172,3.4690902,100.05628,21.938532,43.462616,7.1576653,0.9442071,47.677975,3.2768502,0.0,36.557194,11.633149,0.0,18.381,0.0,6.5352826,11.538411,7.5723724,24.40938,0.0,1.797929,7.54093,1.0634054,0.0,0.0,3.1027675,3.8491945,0.0,0.0,12.801584,22.600367,34.70378,4.7077665,51.49687,0.0,0.0,6.502258
0.0,1.153201,0.0,0.0,0.0,0.0,2.319538,149.38152,21.74771,17.651875,0.0,2.863258,19.51041,0.0,0.0,9.699247,4.276662,0.0,12.641881,0.0,38.256977,15.477194,20.569305,3.250909,0.0,8.183619,3.052566,0.0,0.0,0.0,0.0,0.0,9.023462,0.0,3.182035,0.0,3.5068934,0.0,9.567135,0.0,10.471633,0.011253521
7.2727666,17.275257,0.0,93.308014,0.0,0.0,18.643433,61.099236,38.361755,31.361034,9.9208765,7.168222,20.367908,5.566326,0.0,21.922205,9.819726,3.7027085,4.9365606,3.1599243,20.064608,31.46109,21.944143,58.646706,0.0,5.5799394,3.31709,0.0,0.0,0.0,0.0,7.082938,71.64406,0.0,4.340746,0.0,3.495919,0.0,458.5556,17.022797,0.0,2.772133
27.008818,5.309788,0.0,0.0,20.558659,3.6610856,31.175274,29.43423,38.260094,45.899857,0.0,7.842798,14.39075,3.3085513,0.0,67.44916,18.711094,0.0,10.313162,6.5346103,0.0,16.551287,25.90153,47.11756,4.4371786,3.2309635,3.7364175,0.0,0.0,0.0,13.013701,3.3021085,19.814402,0.0,0.0,36.495644,29.833588,7.706887,343.58853,10.457154,0.0,9.007938
0.0,1.482199,0.0,0.0,9.781118,2.9921968,4.145573,45.48487,16.59311,23.065573,0.0,3.9207926,24.85199,0.0,0.0,16.672768,5.739736,0.0,10.574778,0.0,0.0,7.702099,0.06051886,16.36914,0.0,3.68833,3.1771889,0.0,0.0,0.0,0.0,3.256197,1.5872698,0.0,0.0,2.8975997,26.436565,3.9055665,31.78781,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.4715052,57.98233,6.0885105,62.23023,0.0,0.0,6.129657,3.7042189,0.0,14.175962,1.4840692,0.0,22.63713,0.0,8.577555,6.102239,20.73389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3996685,21.18618,0.0,0.0,0.0,6.777686,0.0,9.986591,0.0,4.7600913,0.0
9.750366,23.23022,0.0,17.979637,0.0,0.0,22.772158,34.9945,12.73387,35.542175,0.0,13.545932,19.12506,10.271916,0.0,8.29432,0.0,3.5147035,30.216557,0.0,7.962647,13.910945,30.086777,40.64017,0.0,0.013353944,6.279536,0.0,0.0,0.0,0.0,3.973294,133.2319,0.0,6.3680835,0.0,2.571656,6.7605486,435.2762,3.7678618,0.0,2.0413089
40.79546,2.8159373,9.531591,0.0,16.340685,0.0,30.480135,0.0,26.130154,424.707,0.0,0.0,17.786446,3.2564106,0.0,48.78941,20.05638,1.9610492,3.2766137,13.12018,3.164392,33.041626,33.04203,23.580149,11.346299,0.0,9.21453,0.0,0.0,0.0,9.194121,4.0010185,37.11562,0.0,0.0,10.938324,14.315125,3.3403678,411.4977,14.930888,0.0,3.2820034
