model_accuracy,MF
0.9398503373933385,MF102
0.48757992917052284,MF117
0.49670117181620516,MF121
0.03349218723531708,MF1223
0.5476540865309217,MF124
0.2924220658471122,MF13
0.7729768820869818,MF134
0.8153933176468273,MF137
0.47005668533885747,MF141
0.5557746004179844,MF144
0.006257035875130449,MF167
0.4617158051038256,MF179
0.761675697852946,MF181
0.5357792577847901,MF184
NaN,MF191
0.6231084451277056,MF195
0.8052876646974134,MF198
0.13443466458769107,MF2
0.4589445979169326,MF200
0.5046076894435049,MF21
0.12583029891231917,MF257
0.2842173026895169,MF27
0.912390648464254,MF312
0.8080983363843195,MF370
0.2778184518589432,MF39
0.6708410095757456,MF421
0.20184283050761243,MF439
0.009930184910722074,MF44
NaN,MF46
NaN,MF465
0.24089607325804133,MF476
0.5884475779408882,MF478
0.6740256779352382,MF5
NaN,MF557
0.5939253705799447,MF57
0.5353158245722587,MF59
0.3509618504410064,MF6
0.13442566715731646,MF697
0.7260306139262069,MF7
0.6799515378923625,MF78
0.12674509528980568,MF89
0.5780748408115232,MF9
