IA_RMSE,MF
2.4926541676129017,MF102
2.9404233697428848,MF117
4.7015959151503806,MF121
12.149463244264751,MF124
3.346968013077442,MF13
5.227800666165677,MF134
17.729253889839043,MF137
6.517099382270654,MF141
44.251856652253004,MF144
1.4835551513558825,MF167
4.147991688286708,MF179
7.87725327011023,MF181
6.209675329539444,MF184
7.529426836927319,MF191
9.664564222239125,MF195
2.3059398148026906,MF198
10.065915977835594,MF200
3.024869099852158,MF21
3.096854653184989,MF257
6.71856869373158,MF27
4.839444575995473,MF312
51.12135608771465,MF370
3.627672945429671,MF39
2.6696468207586395,MF421
18.12369548704688,MF439
6.590716210301743,MF44
4.322116342614081,MF46
1.722459828612949,MF465
3.264907695300484,MF476
3.052854250180533,MF478
17.062140266360807,MF5
2.4792408409856983,MF557
1.9271110778514324,MF57
4.248721100392944,MF59
22.763122983756436,MF6
117.87642422801972,MF7
2.7162062593449323,MF78
1.6107161281841218,MF89
1.8046920772338817,MF9
