MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
3.065343,11.240692,37.9369,15.452459,4.458453,11.217962,92.588135,17.750612,34.19465,9.892132,17.64181,134.07172,4.295114,23.945208,53.544792,8.407442,30.822247,0.0,0.0,35.55244,9.115076,0.0,0.0,0.0,14.231921,0.97054935,7.7129645,9.071557,0.010308607,22.504623,0.0,5.597013,0.0,3.1975188,120.700264,118.53299,0.0,0.0,1.2415702
0.0,1.0496042,0.0,3.289069,0.0,4.8356743,113.76692,5.36729,7.5119033,0.0,10.558566,37.170162,11.780657,0.0,54.138832,0.0,53.869797,0.0,10.594913,6.5058165,11.451032,0.0,0.0,2.0805812,6.3704543,1.0126793,0.0,0.0,0.0,5.642565,8.61613,1.994714,0.0,1.1418508,6.8032517,0.0,0.0,6.644466,8.413705
3.1048388,13.757388,0.0,0.0,0.0,28.592793,53.563503,25.899576,14.894526,7.637641,17.594816,33.133778,0.0,0.0,14.812304,2.3211799,22.238367,3.0784473,6.345048,17.170927,24.045452,0.0,0.0,9.290893,6.9381437,0.0,34.083927,0.0,0.0,3.1319642,145.89899,10.808977,3.8607724,1.1938996,0.0,390.362,16.020552,0.0,2.063612
29.120096,10.00437,12.382822,19.57131,9.065285,41.690006,58.194744,63.504536,78.58612,3.869423,5.422704,28.38983,0.0,62.760666,124.82022,23.917913,0.0,3.2353766,20.65269,21.60241,51.06622,0.0,11.13144,0.0,6.874672,13.561962,51.39432,0.0,43.27227,3.3646467,36.258984,11.928819,0.0,45.426506,43.544594,1191.4152,38.463646,2.913127,8.102675
3.5456169,8.817189,7.562354,17.364931,3.7650852,3.6185727,101.01504,21.87434,43.12866,7.2789845,1.1332059,48.694492,3.2184525,9.7829485,36.778294,11.728622,18.20744,0.0,6.459681,11.655539,7.305357,0.0,0.0,1.850071,7.7384367,1.0774528,7.364243,3.1606846,0.0,3.803198,0.0,0.0,12.850417,22.804604,35.40752,52.335373,0.0,0.0,6.401362
0.0,1.1627946,0.0,0.0,0.0,2.3889704,148.53946,21.360708,17.300024,0.0,2.938349,19.959866,0.0,0.0,9.224926,4.3161273,12.032297,0.0,37.983337,15.589341,20.233042,0.0,0.0,8.243276,3.0960596,0.0,0.0,0.0,0.0,0.0,8.80363,3.813992,3.1800752,0.0,4.035776,10.409641,0.0,10.340668,0.0
7.3145695,17.172749,0.0,0.0,0.0,18.669077,60.64625,38.015285,31.11768,10.014126,7.4274116,20.781132,0.0,0.0,21.6497,9.759948,4.9914165,3.1209445,19.529472,31.362534,21.649427,0.0,0.0,5.606176,3.328943,0.0,44.098824,0.0,0.0,7.086312,71.80093,11.261036,4.302279,0.13163733,0.0,458.1569,16.900553,9.119112,0.0
27.010824,5.276873,0.0,20.3691,3.8000712,31.138514,29.589432,38.189636,45.9611,1.919122,7.965155,15.491085,0.0,14.852217,67.472694,18.768744,10.6894,6.5449796,3.2402568,16.562462,25.844923,0.0,4.529382,0.0,3.7743888,0.09962331,9.385614,0.0,13.153094,3.3093104,20.012468,0.0,0.0,36.66198,30.105898,343.5725,10.534151,0.0,8.981387
0.0,1.4718001,0.0038544238,9.985304,3.1064265,4.260437,46.309235,16.525106,23.540775,0.0,4.0654044,25.876461,0.0,0.0,16.752449,5.852562,10.568104,0.0,0.0,7.8328123,0.0,0.0,0.0,3.7866797,3.3200524,0.0,9.712904,0.0,0.0,3.311016,1.4223335,0.0,0.0,3.0269756,27.375044,32.410423,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.4895985,56.777893,5.8632174,61.78826,0.0,0.0,6.409003,3.6198843,0.0,13.834601,1.533823,22.20191,0.0,8.266996,6.009482,20.347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3251436,21.430367,0.0,3.3297558,0.0,6.8813176,10.439587,0.0,4.6829886,0.0
9.938479,23.347897,0.0,0.0,0.0,22.985811,34.911392,12.845069,36.07822,0.03415051,13.8153105,19.530895,0.0,0.0,8.105818,0.0,30.29404,0.0,8.055703,13.831736,30.168276,0.0,0.0,0.0,6.366792,1.4378006,10.444637,0.0,0.0,3.9745963,134.31842,0.021674618,6.337534,0.0,0.0,436.00595,3.846109,3.1486435,2.041579
41.066624,2.838494,0.0,16.082428,0.0,30.544556,13.164806,25.921427,426.39047,0.0,0.0,0.0,0.0,16.461327,48.71908,19.927048,3.220531,13.177172,3.0863092,32.664047,32.941074,0.0,11.41002,0.0,9.147327,45.037254,9.212912,0.0,9.200395,0.0,37.16985,0.0,0.0,10.937119,14.592542,412.15054,15.049093,0.0,3.225774
3.2177987,7.472459,8.35555,8.811012,11.617243,3.8218286,81.6876,5.6973915,0.0,3.3220587,13.203098,26.40476,0.0,9.396457,32.365387,11.806433,7.56361,0.0,0.0,17.12947,0.0,0.0,0.0,0.0,5.552224,0.0,8.232063,0.0,0.0,6.7023754,0.0,16.35658,5.9443808,0.0,40.257195,67.862175,0.0,0.0,3.2627013
0.0,2.112288,0.0,0.92213315,0.0,0.0,82.45979,7.350813,14.382629,0.0,12.296523,17.909565,5.5781193,0.0,18.700989,2.9634686,18.358776,0.0,3.2483695,6.6897035,21.727022,0.0,0.0,5.7865186,14.1723995,2.345963,0.0,0.0,0.0,0.0,8.539159,3.327508,0.0,0.0,10.692045,9.592309,0.0,9.899857,0.0
3.6855664,22.168633,0.0,0.0,0.0,30.998213,36.639103,11.392035,15.456291,7.847319,15.64628,9.153567,0.0,0.0,0.0,1.1640705,24.666256,0.0,6.287251,3.36684,15.661376,0.0,8.20815,12.818815,0.0062241554,31.60807,3.9597895,0.0,0.0,3.1568856,100.881325,7.8166575,5.530367,10.048172,0.0,302.73544,18.879934,3.1678843,0.0
21.345825,6.5163813,8.404229,11.471395,0.0,37.740158,18.743065,26.035347,34.85555,0.0,3.3385403,11.373405,0.0,20.705305,93.78598,31.319798,3.5444329,2.7564676,11.201036,20.445969,20.902824,0.0,7.01783,1.9714258,13.011163,0.12638877,8.646458,13.148358,26.453615,3.3688445,29.785957,5.979541,0.0,9.174841,11.865387,383.6692,21.563715,3.335114,3.672741
3.8717742,3.5015967,9.112342,7.2743993,13.43563,2.3298023,71.41219,8.841774,12.799131,4.3410473,4.9026394,25.62082,0.0,10.738539,25.631107,6.765601,19.024628,0.0,0.0,2.0841238,1.9460802,0.0,0.0,0.0,7.7517633,0.0,3.5073042,26.333267,0.0,12.164632,0.0,0.0,3.6811867,1.1552457,41.17192,58.654667,0.0,0.0,1.5344114
0.0,2.1598504,0.0,0.0,0.0,2.9063995,55.832565,4.1157875,4.058316,3.256444,4.8761215,5.7336206,0.0,0.0,12.612571,2.8755426,10.94709,0.0,0.0,3.9154398,5.7951565,0.0,0.0,9.172086,7.4110403,1.2294185,0.0,0.0,0.0,0.0,6.2979884,0.0,0.0,3.3279085,1.2501923,19.524862,0.0,0.0,0.0
6.1432624,13.851528,0.0,0.0,0.0,13.209051,27.7793,17.812057,4.3031597,3.0987911,4.5591345,15.415163,0.0,0.0,13.1666975,7.445779,13.458179,0.0,10.779865,0.0,21.637465,0.0,0.0,2.36241,15.117887,1.6480193,11.021355,7.121294,0.0,4.1747475,49.9236,6.2038274,6.2208257,24.174414,0.0,313.4087,17.932089,3.6029449,0.004279241
37.384842,28.207367,8.576348,63.144154,0.0,18.856012,28.244122,30.470484,13.5314045,0.0,1.3272951,20.920115,0.0,90.21291,208.29898,32.981094,10.609592,3.429815,10.990825,18.899471,38.663174,0.0,1.6693846,0.0,15.944513,0.0,12.495138,5.741155,5.9582496,46.140636,35.08327,10.170868,0.0,6.7807965,19.467539,704.6439,9.88204,3.5648298,2.6412346
0.0,8.297139,6.3057566,10.563536,11.415956,4.6829066,95.57848,9.811895,18.579584,4.60794,13.6846,35.953434,0.0,0.0,29.877808,5.47404,10.118568,0.0,10.416179,12.128756,4.682993,0.0,0.0,2.4331796,7.782112,1.3543509,10.089188,14.066636,0.0,3.2156806,0.0,4.114428,6.1471057,0.0,47.67513,62.15236,0.0,11.133338,1.4221416
0.0,2.2208445,3.4031813,0.0,10.072102,1.1964865,112.864494,0.0,13.943077,3.0984776,12.560665,37.381123,3.1062238,0.0,25.921581,1.2343966,23.39582,0.0,3.4464917,4.2632775,7.458106,0.0,0.0,6.764483,17.108921,1.160289,0.0,0.0,0.0,2.8003566,6.713884,0.0,0.0,0.0,14.905531,48.94873,0.0,6.2874293,0.0
6.5800786,20.48888,0.0,0.0,3.3616583,25.351519,39.204338,13.246338,10.881632,6.3515,6.35785,19.05842,0.0,0.0,8.92361,6.50903,8.782034,0.0,2.778099,3.2114155,22.984758,0.0,2.6061575,0.0,9.492446,9.524302,11.403076,0.0,0.0,3.6607451,49.505512,5.6434608,3.7381039,0.0,0.0,656.1048,8.072324,17.009108,0.0
34.400604,17.079256,12.189155,142.45477,37.71967,34.581062,42.391815,35.844555,42.07905,8.339719,2.899864,29.265938,0.0,103.74701,108.04427,37.940857,0.0,20.605907,5.7332616,8.663335,35.400024,0.0,7.171268,0.0,19.493969,5.2585716,7.2642856,0.0,9.560159,5.3387995,17.478806,8.090098,0.0,17.950098,22.192862,940.95807,30.469147,3.1945634,5.502432
10.914865,5.4533434,10.422468,41.67877,10.389019,1.0244303,96.01784,7.696328,10.45895,18.883741,4.1212664,34.70507,0.0,4.4453306,30.35262,8.202912,28.329964,0.0,9.616023,8.290498,7.633546,0.0,0.0,2.322977,28.650854,0.99293494,3.1895032,8.208116,0.0,2.7810476,0.0,2.7899957,6.224013,0.0,11.475126,53.51995,0.0,0.0,0.0
