model_accuracy,MF
0.912816810011517,MF102
0.7913553859438142,MF117
0.12114647154193572,MF121
0.4254323993612718,MF124
0.15450302021203677,MF13
0.7391913879518544,MF134
0.7957779886784865,MF137
0.7885747429657541,MF141
0.5599006889779231,MF144
0.16436536995141632,MF167
0.4319258372973211,MF179
0.6653128998191093,MF181
0.12274145114027625,MF184
0.4590222353865524,MF191
0.8198195556519908,MF195
0.8059081643364773,MF198
0.6114177790879871,MF200
0.46437521147341604,MF21
0.43139245964736733,MF257
0.3023885066572261,MF27
0.8889862524253308,MF312
NaN,MF370
0.28922670549824403,MF39
0.16198061850385667,MF421
0.2964348244392803,MF439
0.26064496548939214,MF44
0.6823990023901582,MF46
0.07636089904741178,MF465
0.25151931753022105,MF476
0.3334192347648323,MF478
0.6736232730101688,MF5
0.5164398674027164,MF557
0.6190861109761799,MF57
0.515191173477799,MF59
0.3260348289155759,MF6
0.7078565655367036,MF7
0.781601346608795,MF78
0.17381946488664304,MF89
0.6728085085891726,MF9
