model_accuracy,MF
0.9783150401812271,102
0.6720495914086596,117
0.9696478988697027,121
0.9507959949981346,1223
0.9500054713493734,124
0.8772990084239157,13
0.9671418864149027,134
0.8177362719668987,137
0.9655332360261292,140
0.9880788382710936,141
0.9768553487873375,144
0.8899875808875665,179
0.8554494905885636,181
0.9166067774075395,184
0.9236952697373503,191
0.9267154426410958,195
0.858171827876841,198
0.9893618873954217,2
0.8973684098721608,200
0.8448349535774105,257
0.8769018556124889,27
0.9280222157712316,28
0.8729236219384322,312
0.8473808031190461,370
0.9290736638205587,39
0.9365511526348488,421
0.9043713619582122,439
0.9198083989159782,44
0.9522567161221094,46
0.6583706971192239,478
0.9809168645427347,5
0.5294877776598831,557
0.8602953763460084,59
0.9433746542756138,6
0.9972907720634213,697
0.9520127003859452,7
0.8722654060396927,78
0.9772130255547468,9
1.0,time_step
