model_accuracy,MF
0.9559149120630029,102
0.5248813713333605,117
0.6311026254484476,121
0,1223
0.6761461635633403,124
0.2677019279394478,13
0.8333134287853552,134
0.8156702288979293,137
0.8545257074792348,140
0.8907309320707936,141
0.8685490946556048,144
0.6622007182741586,179
0.7603665867855044,181
0.49693898711045853,184
0.6175656389905468,191
0.5284381899412669,195
0.6700822689678848,198
0,2
0.7419465978574857,200
0.28076282127803254,257
0.6076702025443405,27
0.6459780745200016,28
0.8302637242396703,312
0.6560553275920789,370
0.0,39
0.5729953891648796,421
0.5617489334389708,439
0.6686414858260037,44
0.5074749131912543,46
0.09310071132174,478
0.8895349503534958,5
0.8069848118307665,557
0.5966230749051958,59
0.8358702025408817,6
0.6648965913735378,697
0.9540078657144307,7
0.6213519695685864,78
0,9
