MF102,MF117,MF121,MF1223,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF2,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF697,MF7,MF78,MF89,MF9
7.4554987,0.0,9.96757,16.246563,17.236994,8.852538,14.391951,0.0,26.989992,56.029945,0.0,21.205122,74.72974,10.974742,9.45099,68.79486,12.4752035,0.0,52.72943,0.0,19.106638,23.176014,34.236813,37.446064,2.744654,0.0,24.561138,4.563888,9.573776,7.678582,0.0,10.196136,37.96438,6.9182463,0.0,7.200218,0.0,3.5859854,201.96457,0.0,10.997289,5.3462577
1.8541429,0.0,5.995707,0.0,9.133788,6.574016,4.5075536,0.0,20.18251,43.731205,0.0,22.047403,66.51304,10.51952,1.3561909,59.26842,7.4029484,0.0,58.295845,0.0,19.441689,20.635979,34.28677,13.035765,1.0777172,0.0,23.59349,1.9837344,2.9045467,3.8115757,0.0,6.5151815,20.713512,6.7317705,0.0,4.30314,0.0,3.4056768,38.852947,0.9592824,13.281663,3.8173227
15.112739,0.0,7.0580015,57.1354,16.911976,3.3904827,26.344355,0.0,27.114649,59.41496,0.0,13.99036,42.077145,10.166866,17.334208,50.2712,12.499037,2.581035,25.498438,3.6687844,13.485694,18.505611,32.330147,53.682644,5.8717194,0.0,16.496155,9.472276,13.213727,3.5609818,0.0,8.098667,65.56378,7.3593197,0.0,11.769943,0.0,2.210978,432.48975,0.0,6.108428,3.091623
22.046473,0.0,10.797716,94.16549,32.35418,7.928228,36.20218,0.0,34.690342,72.47214,0.0,9.639415,39.889133,6.849865,29.107746,59.89552,19.691393,2.8560476,10.212421,5.0737643,8.405449,22.990885,24.406317,76.18456,5.715159,0.0,13.572452,10.818065,23.119556,9.326645,0.0,10.293089,74.75045,9.666843,0.0,17.519636,0.0,4.6705484,627.8348,0.0,2.1595623,3.2263649
5.162168,0.0,10.350389,5.371079,22.250067,13.080975,6.397775,0.0,20.095861,34.821262,0.0,13.265963,58.18435,2.954535,9.258263,52.890705,12.900099,0.0,34.632404,0.0,10.21235,17.231773,12.498245,25.74777,0.0,0.0,18.7809,1.2537895,9.571704,11.561694,0.0,9.03296,7.9684424,5.8589373,0.0,6.391127,0.0,5.1048336,91.82102,0.71070206,5.0233984,3.4636037
4.7620497,0.0,6.94664,3.8862035,11.146258,7.005804,9.223467,0.0,20.556639,42.9052,0.0,18.137892,60.553383,10.295476,5.4433045,53.08152,8.913944,0.0,46.551044,0.0,16.597404,17.242435,28.986633,24.342218,1.239045,0.0,21.374956,3.907154,5.3582726,5.6152496,0.0,8.05059,27.272697,5.370914,0.0,4.6190114,0.0,3.4844024,112.79357,0.0,9.649374,3.8814063
19.345,0.0,7.5687814,80.00671,22.222822,3.3269422,32.59452,0.0,29.332907,64.99998,0.0,10.704308,34.411892,8.926298,23.020851,49.68753,15.076503,3.1578104,14.45484,4.9720263,10.53492,19.169487,29.227686,65.23811,6.1916823,0.0,13.647993,10.970959,17.355139,4.832096,0.0,8.286992,74.792435,8.393194,0.0,14.530914,0.0,2.9301817,554.2602,0.0,3.573126,2.727825
22.216352,0.0,10.971732,95.421906,33.351845,8.542833,36.55378,0.0,34.915897,72.56712,0.0,9.097794,39.93898,6.593677,29.830788,60.238853,20.048239,2.8529625,9.149534,4.8340755,7.879163,23.160671,23.266125,77.06659,5.605204,0.0,13.376288,10.858347,23.701965,9.730416,0.0,10.436334,74.25629,9.758613,0.0,17.69625,0.0,4.974536,633.8515,0.0,1.9879608,3.3505824
5.2777524,0.0,10.478444,5.9359713,22.308966,13.192931,6.535724,0.0,20.012793,34.632492,0.0,13.020863,57.868095,2.776709,9.459878,52.592743,12.883487,0.0,34.02533,0.0,10.036846,17.086481,12.074798,26.115685,0.0,0.0,18.636934,1.2974447,9.711716,11.728324,0.0,9.163537,8.109288,5.812065,0.0,6.3180056,0.0,5.1894126,94.316666,0.5815397,4.790787,3.4743998
5.0616293,0.0,7.048381,5.027698,11.3285265,7.0638266,9.645109,0.0,20.57418,42.7835,0.0,17.844015,60.02603,10.242999,5.6711917,52.77745,9.034201,0.0,45.547314,0.0,16.395357,16.999784,28.554636,25.375793,1.2661093,0.0,21.256527,3.987244,5.598772,5.766663,0.0,8.154068,27.874063,5.3710265,0.0,4.704925,0.0,3.3668609,119.74703,0.0,9.416561,3.916065
