training_frame,windows_start,windows_end,epoch_number,mean_accuracy
5,1,10,50000,0.6153840276012653
5,2,11,50000,0.4728151540092405
5,3,12,50000,0.6544291883940772
5,4,13,50000,0.7930855987278169
5,5,14,50000,0.600920823216044
5,6,15,50000,0.7560729544701547
5,7,16,50000,0.7726486128340282
5,8,17,50000,0.635062199289212
5,9,18,50000,0.8315368499858485
5,10,19,50000,0.7786810498908122
5,11,20,50000,0.3905952304443493
5,12,21,50000,0.7172368305443353
5,13,22,50000,0.7892123170165294
5,14,23,50000,0.6593604530119355
5,15,24,50000,0.6983467075238742
5,16,25,50000,0.8407701702374377
5,17,26,50000,0.6856371381717824
5,18,27,50000,0.7216775495141565
5,19,28,50000,0.7335767710412846
5,20,29,50000,0.6789192159111224
5,21,30,50000,0.6302715255758697
5,22,31,50000,0.7004204594362958
5,23,32,50000,0.5450907585745702
5,24,33,50000,0.5557141905089179
5,25,34,50000,0.6811568139301739
5,26,35,50000,0.6663452633278254
