"MF";"RNN_RMSE";"LOESS_RMSE";"SARIMA_RMSE";"RNN_Acc";"LOESS_accuracy";"SARIMA_accuracy";"scientificName"
"MF312";4.41629876954897;14.4256346416704;8.52294922033423;0.903562164918428;0.781389307616839;0.870507394318637;"Acorigone acoreensis (Wunderlich, 1992)"
"MF78";4.88833924678569;11.3654165414334;9.66795506054637;0.520057495753637;0.282758707627842;0.673091907113894;"Anaspis proteus Wollaston, 1854"
"MF57";2.0433912459884;3.95470496234038;2.8131294408966;0.57685347525383;0.0532579818758182;0.545157843345375;"Atheta aeneicollis (Sharp, 1869)"
"MF141";5.83596023704627;77.843204227215;20.9519707194523;0.818821685043333;0.136617901937805;0.492109485690928;"Calacalles subcarinatus (Israelson, 1984)"
"MF257";6.58163047919693;5.8206374480397;7.11901451053935;0.280272262254867;0;NA;"Catops coracinus Kellner, 1846"
"MF44";2.97602497649955;14.535794958841;8.85710104549221;0.331685018023551;0.201748052806512;NA;"Cinara juniperi (De Geer, 1773)"
"MF7";43.0072678141874;334.008432018327;229.403089857381;0.939044906568407;0.658735623552026;0.792949999252556;"Cixius azoterceirae Remane & Asche, 1979"
"MF124";8.02313693177733;70.0668256936036;26.3077625875239;0.811472492885094;0.179881047962866;0.595035868758625;"Cyphopterum adscendens (Herrich-Schäffer, 1835)"
"MF46";4.53713326503617;11.3994004486244;8.6583647165166;0.644614652380285;0.0194569809404578;0.243284020649264;"Drouetius borgesi borgesi (Machado, 2009)"
"MF121";9.06109027338906;6.0642253585662;6.03853076555962;NA;0.707867840306809;0.627344907476638;"Ectopsocus briggsi McLachlan, 1899"
"MF184";2.8136625076208;4.34725579263863;4.07502751535244;0.55046923212051;0.560523050250521;0.225303236542252;"Elipsocus azoricus Meinander, 1975"
"MF370";12.6392966426992;56.0311494249097;75.5473291343074;0.696427277390283;0.309379627331061;0.28154162696468;"Elipsocus brincki Badonnel, 1963"
"MF465";5.98976446103294;4.26669186388204;4.89919119639817;NA;NA;0.432057872896912;"Eupteryx azorica Ribaut, 1941"
